TITLE="foil"
VARIABLES="Iteration" "Residual_rho" "Residual_rhou" "Residual_rhov" "Residual_rhop"
ZONE  F=POINT
11901 2.444151e-07 9.545286e-05 5.737409e-05 5.819084e-02
11951 2.375837e-07 9.366279e-05 5.577346e-05 5.656490e-02
12001 2.308437e-07 9.189273e-05 5.419644e-05 5.496067e-02
12051 2.242049e-07 9.014324e-05 5.264501e-05 5.338051e-02
12101 2.176763e-07 8.847813e-05 5.112096e-05 5.182659e-02
12151 2.112663e-07 8.683297e-05 4.962591e-05 5.030085e-02
12201 2.049821e-07 8.521876e-05 4.816128e-05 4.880504e-02
12251 1.988302e-07 8.363102e-05 4.672834e-05 4.734069e-02
12301 1.928161e-07 8.206285e-05 4.532817e-05 4.590914e-02
12351 1.869448e-07 8.051473e-05 4.396169e-05 4.451154e-02
12401 1.812203e-07 7.900545e-05 4.262966e-05 4.314886e-02
12451 1.756526e-07 7.756066e-05 4.133270e-05 4.182190e-02
12501 1.702610e-07 7.613317e-05 4.007127e-05 4.053126e-02
12551 1.650198e-07 7.472343e-05 3.884570e-05 3.927741e-02
12601 1.599306e-07 7.333190e-05 3.765617e-05 3.806067e-02
12651 1.549943e-07 7.195900e-05 3.650276e-05 3.688118e-02
12701 1.502111e-07 7.060513e-05 3.538542e-05 3.588921e-02
12751 1.469898e-07 6.927064e-05 3.430400e-05 3.504552e-02
12801 1.439962e-07 6.795588e-05 3.325823e-05 3.421242e-02
12851 1.411055e-07 6.666116e-05 3.224776e-05 3.339026e-02
12901 1.383106e-07 6.538675e-05 3.127216e-05 3.257941e-02
12951 1.356050e-07 6.413290e-05 3.033091e-05 3.178018e-02
13001 1.329826e-07 6.290894e-05 2.942748e-05 3.099290e-02
13051 1.304379e-07 6.173537e-05 2.855722e-05 3.021786e-02
13101 1.279660e-07 6.058075e-05 2.771913e-05 2.945532e-02
13151 1.255621e-07 5.944526e-05 2.691246e-05 2.870553e-02
13201 1.232222e-07 5.833707e-05 2.613639e-05 2.796874e-02
13251 1.209423e-07 5.724911e-05 2.539009e-05 2.724514e-02
13301 1.187192e-07 5.617946e-05 2.467268e-05 2.653493e-02
13351 1.165497e-07 5.512823e-05 2.398326e-05 2.583828e-02
13401 1.144310e-07 5.409554e-05 2.332093e-05 2.515533e-02
13451 1.123607e-07 5.308144e-05 2.268474e-05 2.448622e-02
13501 1.103365e-07 5.208597e-05 2.207377e-05 2.383106e-02
13551 1.083564e-07 5.110913e-05 2.148706e-05 2.318993e-02
13601 1.064187e-07 5.015089e-05 2.092367e-05 2.256290e-02
13651 1.045219e-07 4.921119e-05 2.038265e-05 2.195002e-02
13701 1.026645e-07 4.828995e-05 1.986307e-05 2.141262e-02
13751 1.008542e-07 4.738704e-05 1.936401e-05 2.105015e-02
13801 9.908814e-08 4.650233e-05 1.888456e-05 2.069334e-02
